feature,mean_importance
koi_slogg,0.0
koi_dikco_mdec,0.0
koi_smet,0.0
koi_srad,0.0
koi_smass,0.0
ra,0.0
dec,0.0
koi_kepmag,0.0
koi_gmag,0.0
koi_rmag,0.0
koi_steff,0.0
koi_imag,0.0
koi_jmag,0.0
koi_hmag,0.0
koi_kmag,0.0
koi_fwm_sra,0.0
koi_fwm_sdec,0.0
koi_fwm_srao,0.0
koi_fwm_sdeco,0.0
koi_fwm_prao,0.0
koi_fwm_pdeco,0.0
koi_zmag,0.0
koi_dicco_mra,0.0
koi_bin_oedp_sig,0.0
koi_tce_plnt_num,0.0
koi_period,0.0
koi_time0bk,0.0
koi_time0,0.0
koi_impact,0.0
koi_duration,0.0
koi_depth,0.0
koi_ror,0.0
koi_srho,0.0
koi_dikco_mra,0.0
koi_quarters,0.0
koi_sma,0.0
koi_teq,0.0
koi_insol,0.0
koi_dor,0.0
koi_ldm_coeff2,0.0
koi_ldm_coeff1,0.0
koi_max_sngle_ev,0.0
koi_max_mult_ev,0.0
koi_model_snr,0.0
koi_num_transits,0.0
koi_incl,0.0
koi_dicco_mdec,0.0
koi_dicco_msky,0.020271629828418947
koi_fwm_stat_sig,0.03597275224700057
koi_dikco_msky,0.22082253012772995
koi_prad,0.2607811272694677
rowid,0.29648036131559685
koi_count,0.3205815735471925
